cohort_month,month_number,active_users,cohort_size,retention_rate
2019-01,0,5,5,1.0
2019-01,33,1,5,0.2
2019-01,38,1,5,0.2
2019-01,81,1,5,0.2
2019-02,0,14,14,1.0
2019-02,2,1,14,0.071428571428571425
2019-02,5,1,14,0.071428571428571425
2019-02,14,1,14,0.071428571428571425
2019-02,18,1,14,0.071428571428571425
2019-02,23,1,14,0.071428571428571425
2019-02,29,1,14,0.071428571428571425
2019-02,33,1,14,0.071428571428571425
2019-02,34,2,14,0.14285714285714285
2019-02,57,1,14,0.071428571428571425
2019-02,59,2,14,0.14285714285714285
2019-02,61,1,14,0.071428571428571425
2019-02,63,1,14,0.071428571428571425
2019-02,69,1,14,0.071428571428571425
2019-02,73,1,14,0.071428571428571425
2019-02,77,1,14,0.071428571428571425
2019-03,0,32,32,1.0
2019-03,6,3,32,0.09375
2019-03,11,2,32,0.0625
2019-03,25,3,32,0.09375
2019-03,31,1,32,0.03125
2019-03,41,1,32,0.03125
2019-03,44,1,32,0.03125
2019-03,47,1,32,0.03125
2019-03,48,1,32,0.03125
2019-03,51,1,32,0.03125
2019-03,53,1,32,0.03125
2019-03,54,3,32,0.09375
2019-03,56,1,32,0.03125
2019-03,66,1,32,0.03125
2019-03,67,1,32,0.03125
2019-03,69,1,32,0.03125
2019-04,0,47,47,1.0
2019-04,1,1,47,0.021276595744680851
2019-04,3,1,47,0.021276595744680851
2019-04,4,1,47,0.021276595744680851
2019-04,8,2,47,0.0425531914893617
2019-04,9,1,47,0.021276595744680851
2019-04,10,2,47,0.0425531914893617
2019-04,11,1,47,0.021276595744680851
2019-04,13,2,47,0.0425531914893617
2019-04,14,1,47,0.021276595744680851
2019-04,19,1,47,0.021276595744680851
2019-04,21,1,47,0.021276595744680851
2019-04,25,1,47,0.021276595744680851
2019-04,28,1,47,0.021276595744680851
2019-04,32,2,47,0.0425531914893617
2019-04,33,1,47,0.021276595744680851
2019-04,36,2,47,0.0425531914893617
2019-04,38,1,47,0.021276595744680851
2019-04,40,1,47,0.021276595744680851
2019-04,42,3,47,0.063829787234042548
2019-04,43,1,47,0.021276595744680851
2019-04,45,1,47,0.021276595744680851
2019-04,47,1,47,0.021276595744680851
2019-04,48,2,47,0.0425531914893617
2019-04,49,1,47,0.021276595744680851
2019-04,58,2,47,0.0425531914893617
2019-04,59,1,47,0.021276595744680851
2019-04,62,2,47,0.0425531914893617
2019-04,63,1,47,0.021276595744680851
2019-04,65,1,47,0.021276595744680851
2019-04,67,2,47,0.0425531914893617
2019-04,71,1,47,0.021276595744680851
2019-04,72,1,47,0.021276595744680851
2019-04,75,1,47,0.021276595744680851
2019-04,80,1,47,0.021276595744680851
2019-05,0,66,66,1.0
2019-05,3,1,66,0.015151515151515152
2019-05,4,2,66,0.030303030303030304
2019-05,6,1,66,0.015151515151515152
2019-05,8,2,66,0.030303030303030304
2019-05,9,2,66,0.030303030303030304
2019-05,12,1,66,0.015151515151515152
2019-05,13,1,66,0.015151515151515152
2019-05,14,1,66,0.015151515151515152
2019-05,16,1,66,0.015151515151515152
2019-05,17,1,66,0.015151515151515152
2019-05,18,1,66,0.015151515151515152
2019-05,19,2,66,0.030303030303030304
2019-05,20,2,66,0.030303030303030304
2019-05,21,2,66,0.030303030303030304
2019-05,23,1,66,0.015151515151515152
2019-05,24,1,66,0.015151515151515152
2019-05,26,3,66,0.045454545454545456
2019-05,27,1,66,0.015151515151515152
2019-05,29,1,66,0.015151515151515152
2019-05,31,2,66,0.030303030303030304
2019-05,32,1,66,0.015151515151515152
2019-05,35,1,66,0.015151515151515152
2019-05,38,1,66,0.015151515151515152
2019-05,40,4,66,0.060606060606060608
2019-05,43,1,66,0.015151515151515152
2019-05,45,1,66,0.015151515151515152
2019-05,47,1,66,0.015151515151515152
2019-05,48,1,66,0.015151515151515152
2019-05,49,2,66,0.030303030303030304
2019-05,53,1,66,0.015151515151515152
2019-05,54,1,66,0.015151515151515152
2019-05,60,1,66,0.015151515151515152
